System_name,DefenceFinder,PADLOC
2TM-1TM-TIR,,2TM-1TM-TIR
3HP,Rst_3HP,3HP
6A_MBL,6A_MBL,
AVAST,Avs,AVAST
Abi2,Abi2,Abi2
AbiA,AbiA,
AbiAlpha,AbiAlpha,
AbiB,AbiB,AbiB
AbiC,AbiC,AbiC
AbiD,AbiD,AbiD
AbiE,AbiE,AbiE
AbiG,AbiG,AbiG
AbiH,AbiH,AbiH
AbiI,AbiI,AbiI
AbiJ,AbiJ,AbiJ
AbiK,AbiK,
AbiL,AbiL,AbiL
AbiN,AbiN,AbiN
AbiO,AbiO,
AbiO-Nhi,,AbiO-Nhi
AbiP,,AbiP
AbiP2,AbiP2,
AbiQ,AbiQ,AbiQ
AbiR,AbiR,
AbiT,AbiT,AbiT
AbiU,AbiU,AbiU
AbiV,AbiV,AbiV
AbiZ,AbiZ,AbiZ
Aditi,Aditi,Aditi
All_UG,All_UG,
Ape,Gao_Ape,ApeA
Argonaute,pAgo,argonaute
AspAB,AspAB,
Azaca,Azaca,Azaca
BREX,BREX,brex
Belenos,Belenos,
Belisama,Belisama,
Borvo,Borvo,Borvo
Brig1,Brig1,
Brigantia,Brigantia,
BstA,BstA,BstA
Bunzi,Bunzi,Bunzi
Butters_gp30_gp31,Butters_gp30_gp31,
Butters_gp57r,Butters_gp57r,
CARD_NLR,CARD_NLR,
CBASS,CBASS,cbass
CapRel,CapRel,
Cas,Cas,cas
Ceres,Ceres,
Cernunnos,Cernunnos,
Charlie_gp32,Charlie_gp32,
CoCoNut,CoCoNut,
DISARM,DISARM,disarm
DMS,,DMS
DRT,DRT,DRT
DS-1,DS-1,
DS-10,DS-10,
DS-11,DS-11,
DS-12B,DS-12B,
DS-13,DS-13,
DS-14,DS-14,
DS-15,DS-15,
DS-16,DS-16,
DS-17,DS-17,
DS-18,DS-18,
DS-19,DS-19,
DS-2,DS-2,
DS-20,DS-20,
DS-21,DS-21,
DS-22,DS-22,
DS-23,DS-23,
DS-24,DS-24,
DS-25,DS-25,
DS-27,DS-27,
DS-28,DS-28,
DS-29,DS-29,
DS-3,DS-3,
DS-31,DS-31,
DS-32,DS-32,
DS-33,DS-33,
DS-34,DS-34,
DS-35,DS-35,
DS-36,DS-36,
DS-37,DS-37,
DS-38,DS-38,
DS-39,DS-39,
DS-4,DS-4,
DS-40,DS-40,
DS-41,DS-41,
DS-42,DS-42,
DS-43,DS-43,
DS-44,DS-44,
DS-45,DS-45,
DS-5,DS-5,
DS-6,DS-6,
DS-7,DS-7,
DS-8,DS-8,
DS-9,DS-9,
DUF4238,Rst_DUF4238,DUF4238
Damona,Damona,
DarTG,DarTG,darTG
Dazbog,Dazbog,Dazbog
DdmDE,DdmDE,DdmDE
Detocs,Detocs,
Divona,Divona,
Dodola,Dodola,Dodola
Dpd,Dpd,Dpd
DprA-PRTase,Rst_DprA-PPRT,DprA-PRTase
Druantia,Druantia,druantia
Dsr,Dsr,dsr2
Dsr,Dsr,dsr1
Eleos,Eleos,Dynamins
Epona,Epona,
Erebus,Erebus,
Esos,Esos,
FS_GIY_YIG,FS_GIY_YIG,
FS_HEPN_TM,FS_HEPN_TM,
FS_HP,FS_HP,
FS_HP_SDH_sah,FS_HP_SDH_sah,
FS_HsdR_like,FS_HsdR_like,
FS_Sma,FS_Sma,
GAO,,GAO
GAPS1,GAPS1,
GAPS2,GAPS2,
GAPS3,GAPS3,
GAPS4,GAPS4,
GAPS5,GAPS5,
GAPS6,GAPS6,
Gabija,Gabija,gabija
GasderMIN,GasderMIN,gasdermin
Geb,Geb,
HEC-01,HEC-01,HEC-01
HEC-02,HEC-02,HEC-02
HEC-03,HEC-03,HEC-03
HEC-04,HEC-04,HEC-04
HEC-05,HEC-05,HEC-05
HEC-06,HEC-06,HEC-06
HEC-07,HEC-07,HEC-07
HEC-08,HEC-08,HEC-08
HEC-09,HEC-09,HEC-09
Hachiman,Hachiman,hachiman
Helicase-DUF2290,Rst_HelicaseDUF2290,Helicase-DUF2290
Her,Gao_Her,
Hhe,Gao_Hhe,hhe
Hna,Hna,
Hydrolase-TM,Rst_Hydrolase-3Tm,Hydrolase-TM
Hypnos,Hypnos,
ISG15-like,ISG15-like,ISG15-like
Iet,Gao_Iet,ietAS
Juk,JukAB,Juk
Kiwa,Kiwa,kiwa
Lamassu,Lamassu-Fam,Lamassu
Lanthiphage,Lanthiphage,
Lit,Lit,Lit
Lugos,Lugos,
MADS,MADS,mads
MADS3-4,MADS3-4,
MMB_gp29_gp30,MMB_gp29_gp30,
MazEF,MazEF,
Menshen,Menshen,Menshen
Mok_Hok_Sok,Mok_Hok_Sok,
Mokosh,Mokosh,Mokosh
MqsRAC,MqsRAC,
Mza,Gao_Mza,mza
NLR,NLR,
Nantosuelta,Nantosuelta,
Nemetona,Nemetona,
Nhi,Nhi,
NixI,NixI,
Ogmios,Ogmios,
Old,Old_exonuclease,Old
Olokun,Olokun,Olokun
Oshun,Oshun,
